CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,2016_Score,Change_in_Yearly_Score_from_2015,Property_Rights,Change_in_Property_Rights_from_2015,Freedom_from_Corruption,Change_in_Freedom_from_Corruption_from_2015,Fiscal_Freedom_,Change_in_Fiscal_Freedom_from_2015,Gov't_Spending,Change_in_Gov't_Spending_from_2015,Business_Freedom,Change_in_Business_Freedom_from_2015,Labor_Freedom,Change_in_Labor_Freedom_from_2015,Monetary_Freedom,Change_in_Monetary_Freedom_from_2015,Trade_Freedom,Change_in_Trade_Freedom_from_2015,Investment_Freedom_,Change_in_Investment_Freedom_from_2015,Financial_Freedom,Change_in_Financial_Freedom_from_2015,Tariff_Rate_(%),Income_Tax_Rate_(%),Corporate_Tax_Rate_(%),Tax_Burden_%_of_GDP,Gov't_Expenditure_%_of_GDP_,Country,Population_(Millions),"GDP_(Billions,_PPP)",GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
1,Afghanistan,Afghanistan,Asia-Pacific,,,,,,,12.0,4.0,91.6,-0.1,81.2,0.0,56.6,-4.8,63.2,-4.3,,,,,55.0,0.0,,,,20.0,20.0,6.61444,25.024,Afghanistan,31.279,60.578,1.534,6.8158,1936.715,9.1,4.611,53.56,6.7
2,Albania,Albania,Europe,59.0,27.0,65.92,0.2,35.0,5.0,33.0,2.0,87.8,0.6,75.0,-1.1,67.6,-3.0,51.5,-1.4,81.7,0.9,87.6,-0.2,70.0,0.0,70.0,0.0,1.2,23.0,15.0,21.7,28.878,Albania,2.774,31.556,2.102,2.2742,11376.825,16.1,1.625,1093.4803000009285,72.564
3,Algeria,Algeria,Middle East / North Africa,154.0,13.0,50.06,1.2,25.0,-5.0,36.0,0.0,81.0,1.0,59.4,20.7,62.1,-4.5,48.2,-2.3,68.1,-3.1,60.8,0,30.0,5.0,30.0,0.0,12.1,35.0,23.0,12.2,38.0,Algeria,38.7,551.809,4.129,3.3274,14258.62,9.5,2.917,1488.0,8.764
4,Angola,Angola,Sub-Saharan Africa,156.0,39.0,48.94,1.0,15.0,0.0,19.0,-4.0,87.75,3.3,50.1,0.0,50.3,2.9,44.8,1.6,72.2,6.8,70.2,0,40.0,0.0,40.0,0.0,4.9,17.0,30.0,6.0,40.791,Angola,24.383,175.641,4.222,4.7008,7203.347,6.8,7.296,-3881.0,38.043
5,Argentina,Argentina,South and Central America / Caribbean,169.0,27.0,43.77,-0.3,15.0,0.0,34.0,0.0,66.1,-0.7,51.3,10.1,56.0,3.2,43.9,0.6,44.0,-15.6,67.4,-1.4,30.0,0.0,30.0,0.0,6.3,35.0,35.0,30.6,40.3,Argentina,41.961,947.573,0.469,4.3988,22582.499,8.2,37.6,6612.0,48.564
6,Armenia,Armenia,Europe,54.0,23.0,66.96,-0.1,20.0,0.0,37.0,1.0,83.8,-0.6,80.7,-2.1,77.5,-5.2,62.2,-2.1,72.8,2.2,85.6,0.2,80.0,5.0,70.0,0.0,2.2,26.0,20.0,23.42514,25.371,Armenia,3.293,24.282,3.432,4.1998,7373.532,17.1,3.111,382.8413837927186,44.222
7,Australia,Australia,Asia-Pacific,5.0,4.0,80.34,-1.1,90.0,0.0,80.0,-1.0,63.1875,-0.5,62.0,0.2,89.4,-4.7,77.2,-4.4,85.2,-0.1,86.4,0,80.0,0.0,90.0,0.0,1.8,45.0,30.0,27.5,35.58288174095027,Australia,23.59,1095.384,2.709,2.6692,46433.299,6.0,2.488,51854.22225427274,34.258
8,Austria,Austria,Europe,28.0,15.0,71.67,0.5,90.0,0.0,72.0,3.0,50.7,0.6,22.4,2.6,79.4,1.4,72.5,-4.2,81.7,1.4,88.0,0,90.0,0.0,70.0,0.0,1.0,50.0,25.0,42.524,50.859288294511096,Austria,8.52,395.49,0.34,1.2806000000000002,46420.129,5.0,1.458,4674.942386607423,86.824
9,Azerbaijan,Azerbaijan,Asia-Pacific,91.0,16.0,60.2,-0.8,20.0,0.0,29.0,1.0,88.0,-0.1,56.7,-3.0,70.3,-4.2,75.2,-3.9,77.0,-2.8,75.8,-0.2,60.0,5.0,50.0,0.0,4.6,25.0,20.0,13.26051,38.004,Azerbaijan,9.383,165.32,2.793,3.1623999999999994,17618.281,5.2,1.351,4430.4,16.353
10,Bahamas,Bahamas,South and Central America / Caribbean,31.0,2.0,70.92,2.2,70.0,0.0,71.0,0.0,97.9,0.1,84.3,1.1,70.7,1.8,72.8,-2.5,78.5,-0.3,64.0,11.8,40.0,10.0,60.0,0.0,13.0,0.0,0.0,14.4,22.847,The Bahamas,0.36,9.022,1.286,1.1178000000000001,25049.452,15.4,1.191,1595.9,60.408
