CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,2021_Score,Property_Rights,Judical_Effectiveness,Government_Integrity,Tax_Burden,Gov't_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Tariff_Rate_(%),Income_Tax_Rate_(%),Corporate_Tax_Rate_(%),Tax_Burden_%_of_GDP,Gov't_Expenditure_%_of_GDP_,Country,Population_(Millions),"GDP_(Billions,_PPP)",GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
1,Afghanistan,Afghanistan,Asia-Pacific,146.0,33.0,53.0,30.3,25.7,29.1,91.1,76.1,99.9,53.9,59.9,80.8,68.6,10.0,10.0,5.7,20.0,20.0,9.250468048559659,28.222333333333335,Afghanistan,38.041754,76.624,3.037,2.3484000000000003,2293.551683879052,11.1,2.302,38.5333333,7.3
2,Albania,Albania,Europe,66.0,35.0,65.2,46.1,22.8,40.6,89.0,74.6,86.6,66.1,51.6,82.0,82.8,70.0,70.0,3.6,23.0,15.0,18.55747539532614,29.117,Albania,2.854191,39.832,2.214,3.1242,14495.078514073732,12.3,1.411,1281.2522389396383,68.8
3,Algeria,Algeria,Middle East and North Africa,162.0,13.0,49.7,34.0,41.6,32.7,67.2,55.4,49.1,63.5,51.3,84.3,57.4,30.0,30.0,13.8,35.0,26.0,37.18,38.5,Algeria,43.053054,668.827,0.7,2.06,11820.087683680744,11.7,1.952,1381.8900896,46.3
4,Angola,Angola,Sub-Saharan Africa,140.0,30.0,54.2,30.3,22.8,20.4,87.3,86.9,77.9,56.9,59.6,67.5,70.2,30.0,40.0,7.4,17.0,30.0,9.223777453718249,20.908,Angola,31.825295,200.83,-1.503,-0.8977999999999999,6929.678158447642,6.9,17.079,-4098.4787476,109.8
5,Argentina,Argentina,Americas,148.0,26.0,52.7,46.1,45.7,54.0,70.4,52.8,38.4,59.5,46.3,41.9,62.6,55.0,60.0,13.7,35.0,30.0,28.9,39.646,Argentina,44.938712,911.562,-2.163,-0.265,22947.1397952874,9.8,53.548,6244.4229999,88.7
6,Armenia,Armenia,Europe,32.0,18.0,71.9,57.3,55.3,45.0,87.1,81.3,84.3,81.9,74.5,76.9,73.8,75.0,70.0,5.6,23.0,18.0,20.87010390318142,24.96066666666667,Armenia,2.957731,33.426,7.597,4.7604,14219.627708819722,17.0,1.443,254.483,53.4
7,Australia,Australia,Asia-Pacific,3.0,3.0,82.4,81.5,90.0,89.8,62.6,58.1,88.7,87.4,84.1,86.7,89.8,80.0,90.0,2.6,45.0,30.0,28.53,37.355999999999995,Australia,25.364307,1362.07,1.847,2.424,53320.26904278483,5.3,1.61,36156.16158386108,45.0
8,Austria,Austria,Europe,25.0,13.0,73.9,86.8,83.5,84.8,45.7,29.1,90.0,72.6,68.4,81.7,84.0,90.0,70.0,3.0,55.0,25.0,42.18,48.597,Austria,8.877067,476.812,1.585,1.9158000000000002,59110.56255908133,4.7,1.49,4642.622693892173,70.8
9,Azerbaijan,Azerbaijan,Europe,38.0,23.0,70.1,67.9,55.8,46.8,88.1,65.2,99.4,80.5,65.9,73.2,68.0,70.0,60.0,8.5,25.0,20.0,12.971271787444435,34.050000000000004,Azerbaijan,10.023318,187.346,2.25,0.37799999999999995,15000.816497354199,5.5,2.6,1503.9,18.0
10,Bahamas,Bahamas,Americas,70.0,13.0,64.6,48.1,45.7,47.5,97.1,87.6,72.7,70.4,70.0,77.0,49.0,50.0,60.0,18.0,0.0,0.0,17.0,20.307000000000002,Bahamas,0.389482,12.798,1.801,0.8956,37265.81210226767,10.4,1.335,636.702,63.3
