Country/Territory,Region,C/T?,Edition,Status,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Total
Abkhazia,Eurasia,t,2006,PF,5,5,5,5,3,0,0.0,13,8,4,4,5,21,34
Afghanistan,Asia,c,2006,PF,5,5,6,7,3,0,0.0,16,5,5,4,5,19,35
Albania,Europe,c,2006,PF,3,3,8,11,6,0,0.0,25,11,8,10,9,38,63
Algeria,MENA,c,2006,NF,6,5,5,3,3,0,0.0,11,8,6,4,7,25,36
Andorra,Europe,c,2006,F,1,1,12,15,12,0,0.0,39,16,11,15,15,57,96
Angola,SSA,c,2006,NF,6,5,2,5,1,0,0.0,8,8,6,4,3,21,29
Antigua and Barbuda,Americas,c,2006,F,2,2,11,12,7,0,0.0,30,13,9,12,13,47,77
Argentina,Americas,c,2006,F,2,2,11,15,8,0,0.0,34,15,11,11,13,50,84
Armenia,Eurasia,c,2006,PF,5,4,4,5,4,0,0.0,13,8,5,6,9,28,41
Australia,Asia,c,2006,F,1,1,12,15,12,0,0.0,39,16,12,14,15,57,96
Austria,Europe,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,15,15,58,98
Azerbaijan,Eurasia,c,2006,NF,6,5,3,4,3,0,0.0,10,7,3,5,8,23,33
Bahamas,Americas,c,2006,F,1,1,12,16,10,0,0.0,38,16,12,15,15,58,96
Bahrain,MENA,c,2006,PF,5,5,3,6,5,0,0.0,14,8,5,4,5,22,36
Bangladesh,Asia,c,2006,PF,4,4,8,10,4,0,0.0,22,8,8,6,9,31,53
Barbados,Americas,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,16,15,59,99
Belarus,Eurasia,c,2006,NF,7,6,1,3,1,0,0.0,5,3,0,2,5,10,15
Belgium,Europe,c,2006,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
Belize,Americas,c,2006,F,1,2,12,14,10,0,0.0,36,15,11,13,13,52,88
Benin,SSA,c,2006,F,2,2,8,14,8,0,0.0,30,15,11,12,10,48,78
Bhutan,Asia,c,2006,NF,6,5,2,1,5,1,2.0,9,6,2,4,8,20,29
Bolivia,Americas,c,2006,PF,3,3,10,13,5,0,0.0,28,15,11,8,9,43,71
Bosnia and Herzegovina,Europe,c,2006,PF,4,3,7,11,5,0,0.0,23,11,8,10,10,39,62
Botswana,SSA,c,2006,F,2,2,11,11,9,0,0.0,31,14,10,13,10,47,78
Brazil,Americas,c,2006,F,2,2,11,14,7,0,0.0,32,15,10,8,12,45,77
Brunei,Asia,c,2006,NF,6,5,0,3,2,0,1.0,6,6,3,6,8,23,29
Bulgaria,Europe,c,2006,F,1,2,12,15,9,0,0.0,36,14,11,13,13,51,87
Burkina Faso,SSA,c,2006,PF,5,3,5,8,4,0,0.0,17,13,9,6,8,36,53
Burundi,SSA,c,2006,PF,3,5,9,11,5,0,0.0,25,9,5,4,6,24,49
Cambodia,Asia,c,2006,NF,6,5,3,5,3,0,0.0,11,9,6,2,7,24,35
Cameroon,SSA,c,2006,NF,6,6,3,5,3,0,0.0,11,7,3,2,4,16,27
Canada,Americas,c,2006,F,1,1,12,16,11,0,0.0,39,16,12,15,16,59,98
Cape Verde,SSA,c,2006,F,1,1,12,15,10,0,0.0,37,15,11,14,13,53,90
Central African Republic,SSA,c,2006,PF,5,4,7,7,3,0,0.0,17,10,9,3,5,27,44
Chad,SSA,c,2006,NF,6,5,3,2,3,0,0.0,8,7,6,2,3,18,26
Chechnya,Eurasia,t,2006,NF,7,7,0,0,0,0,0.0,0,4,0,0,1,5,5
Chile,Americas,c,2006,F,1,1,12,15,12,0,0.0,39,16,12,15,14,57,96
China,Asia,c,2006,NF,7,6,0,1,1,0,0.0,2,4,2,2,7,15,17
Colombia,Americas,c,2006,PF,3,3,9,8,7,0,0.0,24,12,7,7,10,36,60
Comoros,SSA,c,2006,PF,4,4,7,8,3,0,0.0,18,10,6,8,6,30,48
Congo (Brazzaville),SSA,c,2006,PF,5,5,3,5,4,0,0.0,12,9,8,2,6,25,37
Congo (Kinshasa),SSA,c,2006,NF,6,6,1,5,2,0,0.0,8,6,5,0,1,12,20
Costa Rica,Americas,c,2006,F,1,1,12,15,11,0,0.0,38,16,11,14,13,54,92
Cote d'Ivoire,SSA,c,2006,NF,6,6,2,2,2,0,0.0,6,5,3,3,4,15,21
Croatia,Europe,c,2006,F,2,2,12,14,9,0,0.0,35,14,12,10,13,49,84
Cuba,Americas,c,2006,NF,7,7,0,0,1,0,0.0,1,2,2,1,2,7,8
Cyprus,Europe,c,2006,F,1,1,11,16,11,0,0.0,38,15,12,15,15,57,95
Czech Republic,Europe,c,2006,F,1,1,12,15,10,0,0.0,37,16,12,13,14,55,92
Denmark,Europe,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,15,15,58,98
Djibouti,SSA,c,2006,PF,5,5,4,5,3,0,0.0,12,7,5,5,6,23,35
Dominica,Americas,c,2006,F,1,1,12,16,10,0,0.0,38,16,12,13,13,54,92
Dominican Republic,Americas,c,2006,F,2,2,11,13,8,0,0.0,32,15,11,9,11,46,78
Ecuador,Americas,c,2006,PF,3,3,8,15,4,0,0.0,27,15,11,5,10,41,68
Egypt,MENA,c,2006,NF,6,5,2,4,2,0,0.0,8,7,3,5,7,22,30
El Salvador,Americas,c,2006,F,2,3,12,13,7,0,0.0,32,15,10,8,10,43,75
Equatorial Guinea,SSA,c,2006,NF,7,6,0,1,0,0,0.0,1,5,0,1,3,9,10
Eritrea,SSA,c,2006,NF,7,6,0,1,2,0,0.0,3,2,0,3,6,11,14
Estonia,Europe,c,2006,F,1,1,12,15,12,0,0.0,39,16,12,14,14,56,95
Ethiopia,SSA,c,2006,PF,5,5,5,6,4,0,0.0,15,7,3,5,6,21,36
Fiji,Asia,c,2006,PF,4,3,6,8,6,0,0.0,20,12,9,11,10,42,62
Finland,Europe,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
France,Europe,c,2006,F,1,1,12,15,11,0,0.0,38,15,12,13,15,55,93
Gabon,SSA,c,2006,PF,6,4,2,5,3,0,0.0,10,11,6,7,6,30,40
Georgia,Eurasia,c,2006,PF,3,3,9,9,6,0,0.0,24,11,8,8,10,37,61
Germany,Europe,c,2006,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
Ghana,SSA,c,2006,F,1,2,12,15,10,0,0.0,37,14,11,12,10,47,84
Greece,Europe,c,2006,F,1,2,12,15,10,0,0.0,37,15,10,13,13,51,88
Grenada,Americas,c,2006,F,1,2,12,16,9,0,0.0,37,15,9,12,14,50,87
Guatemala,Americas,c,2006,PF,4,4,9,8,5,0,0.0,22,12,8,5,8,33,55
Guinea,SSA,c,2006,NF,6,5,2,5,2,0,0.0,9,8,5,4,6,23,32
Guinea-Bissau,SSA,c,2006,PF,3,4,9,10,6,0,0.0,25,12,8,8,6,34,59
Guyana,Americas,c,2006,PF,3,3,10,12,7,0,0.0,29,15,10,7,9,41,70
Haiti,Americas,c,2006,NF,7,6,0,5,0,0,0.0,5,8,3,0,5,16,21
Honduras,Americas,c,2006,PF,3,3,9,11,6,0,0.0,26,14,9,8,9,40,66
Hong Kong,Asia,t,2006,PF,5,2,3,7,6,0,0.0,16,14,10,14,13,51,67
Hungary,Europe,c,2006,F,1,1,12,15,10,0,0.0,37,16,12,14,14,56,93
Iceland,Europe,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
India,Asia,c,2006,F,2,3,11,14,9,0,0.0,34,13,10,9,10,42,76
Indian Kashmir,Asia,t,2006,PF,5,5,6,6,3,0,0.0,15,8,6,3,8,25,40
Indonesia,Asia,c,2006,F,2,3,11,13,6,0,0.0,30,11,9,7,8,35,65
Iran,MENA,c,2006,NF,6,6,3,3,3,0,0.0,9,5,3,3,4,15,24
Iraq,MENA,c,2006,NF,6,5,3,4,2,0,0.0,9,6,5,2,6,19,28
Ireland,Europe,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,15,15,58,98
Israel,MENA,c,2006,F,1,2,12,15,10,0,0.0,37,14,11,10,11,46,83
Israeli Occupied Territories,MENA,t,2006,NF,6,5,2,2,3,1,0.0,6,6,5,2,5,18,24
Italy,Europe,c,2006,F,1,1,12,16,11,0,0.0,39,14,12,12,15,53,92
Jamaica,Americas,c,2006,F,2,3,10,13,8,0,0.0,31,15,9,8,11,43,74
Japan,Asia,c,2006,F,1,2,12,15,10,0,0.0,37,13,10,15,13,51,88
Jordan,MENA,c,2006,PF,5,4,4,7,4,0,0.0,15,8,5,7,7,27,42
Kazakhstan,Eurasia,c,2006,NF,6,5,3,4,3,0,0.0,10,7,4,4,7,22,32
Kenya,SSA,c,2006,PF,3,3,9,11,6,0,0.0,26,14,9,8,9,40,66
Kiribati,Asia,c,2006,F,1,1,12,16,10,0,0.0,38,15,12,15,13,55,93
Kosovo,Eurasia,t,2006,PF,6,5,5,5,3,0,3.0,10,6,6,2,5,19,29
Kuwait,MENA,c,2006,PF,4,5,4,8,6,0,0.0,18,9,5,7,4,25,43
Kyrgyzstan,Eurasia,c,2006,PF,5,4,5,7,4,0,0.0,16,11,8,5,7,31,47
Laos,Asia,c,2006,NF,7,6,0,1,0,0,0.0,1,4,1,2,5,12,13
Latvia,Europe,c,2006,F,1,1,12,15,9,0,0.0,36,16,12,12,13,53,89
Lebanon,MENA,c,2006,PF,5,4,4,8,4,0,0.0,16,11,7,5,7,30,46
Lesotho,SSA,c,2006,F,2,3,10,12,9,0,0.0,31,15,8,11,9,43,74
Liberia,SSA,c,2006,PF,4,4,9,10,4,0,0.0,23,11,7,7,8,33,56
Libya,MENA,c,2006,NF,7,7,0,1,0,0,0.0,1,1,0,0,5,6,7
